Data,Hora (UTC),Temp. [Hora] (C),Umi. (%),Pressao (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Nebulosidade (Decimos),Insolacao (h),Temp. Max. [Diaria] (h),Temp. Min. [Diaria] (h),Chuva [Diaria] (mm)
02-09-22,1200,16.4,94,1003.9,0.5,320,10,,,15,38.2
02-09-22,1800,18.8,68,1005,3,230,9,,,,
03-09-22,0,15,83,1009.4,1.8,230,9,7.4,15.4,,
03-09-22,1200,8.6,92,1014.8,2.5,180,10,,,6.2,0
03-09-22,1800,14.8,52,1014.2,1.6,180,0,,,,
04-09-22,0,8.8,89,1014.8,0,0,0,10,17,,
04-09-22,1200,7.6,100,1017.1,1.6,140,0,,,3,0
04-09-22,1800,16.6,57,1013.2,3.3,140,0,,,,
05-09-22,0,10.4,89,1014,0.7,360,0,6.7,20,,
05-09-22,1200,10,100,1013.8,2,90,10,,,8.6,0
05-09-22,1800,19.4,62,1011.8,3.8,140,8,,,,
06-09-22,0,14.4,89,1012.4,0.3,90,8,7.3,22.2,,
06-09-22,1200,14,95,1011.8,1.6,140,10,,,13.6,0
06-09-22,1800,21.6,64,1007.4,2.1,140,8,,,,
07-09-22,0,17.2,88,1006.3,1,90,5,7.3,25.6,,
07-09-22,1200,17.4,86,1004,1.6,50,7,,,15,0
07-09-22,1800,25.2,51,999,3.1,360,4,,,,
08-09-22,0,17.2,80,998.6,0.5,140,0,4.8,25.4,,
08-09-22,1200,18.8,83,998.7,3,140,8,,,14.4,0
08-09-22,1800,25,68,993.1,3.8,140,10,,,,
09-09-22,0,21.6,88,992,1.8,140,5,0,30.8,,
09-09-22,1200,23.6,81,995.4,0.8,230,10,,,12.4,0.3
09-09-22,1800,17.2,86,998.4,3,270,10,,,,
10-09-22,0,12.4,93,1007.4,2,270,10,10.2,16.8,,
10-09-22,1200,10,69,1013.1,1.5,270,0,,,4.6,3.8
10-09-22,1800,15.8,52,1010.7,2.5,270,0,,,,
11-09-22,0,9,89,1011.9,0,0,0,8.3,18.4,,
11-09-22,1200,10,84,1011.2,2.6,140,2,,,3.4,0
11-09-22,1800,18,50,1006.4,4.1,140,5,,,,
12-09-22,0,14.4,63,1006.3,2.3,140,5,4.6,20.6,,
12-09-22,1200,12.4,89,1003.2,2.5,140,10,,,10.8,0
12-09-22,1800,20.2,71,1000.2,2.6,230,10,,,,
13-09-22,0,16,91,1001.5,0,0,10,6.9,21.4,,
13-09-22,1200,,93,1005.1,1.6,270,10,,,11.2,0
13-09-22,1800,19.6,64,1002.6,1.3,180,6,,,,
14-09-22,0,14.8,89,1005.2,0,0,3,2.2,19.8,,
14-09-22,1200,14.6,89,1009.6,2.5,140,10,,,12.8,0
14-09-22,1800,18.8,65,1008.8,3,140,9,,,,
15-09-22,0,16.2,81,1010,1.8,140,10,3.8,21.2,,
15-09-22,1200,13.2,91,1013.5,1.3,90,9,,,12.2,0
15-09-22,1800,20.8,61,1010.8,4.1,90,8,,,,
16-09-22,0,15.4,87,1011.8,0.7,140,5,9.9,22.8,,
16-09-22,1200,16.2,83,1011.9,4.6,140,2,,,13.4,0
16-09-22,1800,22,60,1009.8,3.6,180,2,,,,
17-09-22,0,17.4,76,1009.9,2.5,140,0,10.3,23.8,,
17-09-22,1200,15.4,83,1011.2,3.3,140,4,,,11.8,0
17-09-22,1800,23,53,1006.4,4.6,180,2,,,,
18-09-22,0,17.6,71,1005.2,2.8,140,0,8.8,24.8,,
18-09-22,1200,17,61,1006,3.3,50,7,,,11.2,0
18-09-22,1800,24,41,1000,3.3,50,8,,,,
19-09-22,0,18.4,73,1002,1.8,320,10,0,19,,
19-09-22,1200,17,90,1000.8,5,50,10,,,14.4,15.8
19-09-22,1800,16.6,96,999.6,2,50,10,,,,
20-09-22,0,15.8,98,1001.9,0.8,320,8,7.1,22.4,,
20-09-22,1200,15.2,98,1003.6,1.3,140,10,,,13.8,10.2
20-09-22,1800,22.2,63,1001.9,3,230,6,,,,
21-09-22,0,16.8,92,1002.2,0.5,90,0,2.3,18.4,,
21-09-22,1200,15.6,81,1002.7,3.3,140,8,,,13.8,0
21-09-22,1800,18,77,998.8,3.6,140,10,,,,
22-09-22,0,15,91,1001.2,2.1,140,10,0.4,15,,
22-09-22,1200,13,98,1001.9,2.1,270,10,,,10.8,1
22-09-22,1800,11.8,83,1004,3.3,270,10,,,,
23-09-22,0,10.8,90,1007.6,0.8,320,4,10.5,19.4,,
23-09-22,1200,11.6,83,1009.9,1.3,320,0,,,5.2,0.8
23-09-22,1800,17.6,53,1008.8,1.6,320,5,,,,
24-09-22,0,10.4,87,1009.9,0,0,0,10.7,20.6,,
24-09-22,1200,12.8,84,1011.4,0.8,90,0,,,4.8,0
24-09-22,1800,20.2,49,1006.7,3.6,140,0,,,,
25-09-22,0,14.2,71,1006.7,1.3,50,0,0.5,19.6,,
25-09-22,1200,13.6,88,1006,4.1,140,8,,,11.4,0
25-09-22,1800,19.4,71,1002.7,3.3,90,10,,,,
26-09-22,0,16.6,,1003.1,1.3,140,10,7.9,25.4,,
26-09-22,1200,18.4,84,1003.9,1.6,50,6,,,12.4,0
26-09-22,1800,24.4,60,1000.6,2.6,320,2,,,,
27-09-22,0,16.8,88,1002.6,0,0,0,10.6,25.2,,
27-09-22,1200,17.8,82,1007.5,1.6,230,2,,,11,0
27-09-22,1800,24.8,43,1006.8,3.3,180,2,,,,
28-09-22,0,19.4,62,1007.2,3.3,140,3,7.6,21.8,,
28-09-22,1200,14.8,82,1013.1,5,180,8,,,11.8,0
28-09-22,1800,21.4,49,1010.8,4,140,10,,,,
29-09-22,0,16.4,64,1012.6,5,140,10,4.4,20,,
29-09-22,1200,14.2,91,1013,4.1,140,7,,,10.4,0
29-09-22,1800,20,53,1008.8,5,140,9,,,,
30-09-22,0,15.8,75,1010,3.3,140,10,0.3,17.2,,
30-09-22,1200,15.2,89,1008,3,140,10,,,12.6,0
30-09-22,1800,15.6,95,1007.2,2,140,10,,,,
01-10-22,0,16.2,94,1007.1,0.7,140,10,5.7,23.2,,
01-10-22,1200,16.4,92,1008.7,1.3,230,10,,,15.4,3.4
01-10-22,1800,22,61,1007.4,3,230,8,,,,
02-10-22,0,16.2,87,1008,1,50,0,7.1,21.4,,
02-10-22,1200,14,95,1011,1,90,10,,,12,0
02-10-22,1800,21,60,1008.3,2.3,140,8,,,,
03-10-22,0,14.6,87,1008.3,0,0,0,9.1,23,,
03-10-22,1200,,100,1009.4,0,0,6,,,8.4,0
03-10-22,1800,22.2,54,1005.8,2.5,180,4,,,,
04-10-22,0,15.8,77,1004.6,0.5,140,0,10.6,21.6,,
04-10-22,1200,13.4,82,1007.1,3.8,140,7,,,8.8,0
04-10-22,1800,20.8,43,1002.7,3.8,90,0,,,,
05-10-22,0,14.8,72,1003.1,0.8,90,0,8.5,26.2,,
05-10-22,1200,15,83,1003.8,3.3,140,2,,,10.8,0
05-10-22,1800,25.6,55,998.3,3.6,140,5,,,,
06-10-22,0,20.8,65,999.5,1.6,140,10,0,21.6,,
06-10-22,1200,16.4,98,995.6,1.6,140,10,,,15.8,8.4
06-10-22,1800,20.8,98,991.4,0,0,10,,,,
07-10-22,0,18.4,96,993.2,1.3,320,10,10.7,24.6,,
07-10-22,1200,17.4,78,1000.8,2.5,320,6,,,14.6,26.3
07-10-22,1800,23,53,999,2.3,320,6,,,,
08-10-22,0,17.2,68,1000.2,0.8,360,0,11.2,27.2,,
08-10-22,1200,21,55,999.4,3,360,3,,,10.4,0
08-10-22,1800,26.6,40,996.4,2.8,360,7,,,,
09-10-22,0,19,75,999.2,0,0,7,5.6,19,,
09-10-22,1200,10.2,90,1011.8,0.8,320,10,,,10,0.5
09-10-22,1800,15.6,57,1008.4,2.8,230,6,,,,
10-10-22,0,10.6,87,1010.2,0.5,90,1,4.2,16.2,,
10-10-22,1200,12.2,74,1011.6,3.3,140,0,,,6.6,0
10-10-22,1800,14.6,62,1007.9,5,90,10,,,,
11-10-22,0,12,98,1007.4,2.6,140,10,0.5,17.8,,
11-10-22,1200,14.4,96,1004.7,2.6,90,10,,,12,9.6
11-10-22,1800,16.8,92,1002.8,1.6,360,10,,,,
12-10-22,0,16.2,94,1003.6,0,0,10,7.8,24.2,,
12-10-22,1200,16.4,92,1005.2,1,320,10,,,15.4,2.2
12-10-22,1800,23,56,1002.7,1.6,320,6,,,,
13-10-22,0,16.4,87,1002.4,0.3,320,0,10.4,26,,
13-10-22,1200,18.4,86,1005.4,0.5,50,0,,,10.8,0
13-10-22,1800,25.2,48,1004,2,90,3,,,,
14-10-22,0,19.8,81,1005.8,0,0,8,0.1,19.8,,
14-10-22,1200,14.4,76,1014.3,5,140,10,,,13.6,0
14-10-22,1800,19,61,1013.1,4.3,140,9,,,,
15-10-22,0,16.8,70,1014,5,140,10,11,23.8,,
15-10-22,1200,17.4,72,1013.5,6.6,90,3,,,14,0
15-10-22,1800,23.2,63,1009.1,3.6,90,4,,,,
16-10-22,0,18.2,92,1008.6,3.3,140,0,5.7,25.4,,
16-10-22,1200,16.6,94,1007.4,0.5,270,10,,,15.8,0
16-10-22,1800,24.6,61,1004.3,1.3,230,7,,,,
17-10-22,0,18.8,76,1005.8,1,230,3,6.6,24.4,,
17-10-22,1200,16.6,82,1008.4,2,140,9,,,11.6,0
17-10-22,1800,24.2,95,1004.6,3.6,140,7,,,,
18-10-22,0,18.4,55,1006.8,1.3,140,7,5.3,24.4,,
18-10-22,1200,18.8,81,1008.2,5,140,9,,,16.8,0
18-10-22,1800,23.8,64,1009.6,4.3,140,6,,,,
19-10-22,0,20,81,1006,3.3,140,0,6.7,27,,
19-10-22,1200,19.4,86,1006.7,1.6,140,10,,,17,0
19-10-22,1800,26.6,57,1002.6,4,140,3,,,,
20-10-22,0,21.4,79,1001.9,1.3,90,10,0.2,25,,
20-10-22,1200,18.6,90,999.9,2.5,140,10,,,17.4,0
20-10-22,1800,24.2,71,995.4,1.8,140,10,,,,
21-10-22,0,20.4,96,995.6,1,230,5,5.7,26,,
21-10-22,1200,20.6,84,995.1,1.6,360,10,,,18.8,3.4
21-10-22,1800,24.8,64,995.2,1.6,230,7,,,,
22-10-22,0,18.8,79,1001,3,140,10,6.2,24.4,,
22-10-22,1200,17.6,86,1005.8,2.5,230,10,,,16.2,0
22-10-22,1800,23.4,59,1004.7,2.6,230,4,,,,
23-10-22,0,17.8,84,1005.8,0.3,230,0,9,24.8,,
23-10-22,1200,17,78,1008.2,1.3,230,9,,,14.8,0
23-10-22,1800,24,41,1005.5,2.8,230,0,,,,
24-10-22,0,17.2,76,1006.3,0.7,90,0,10.9,25.2,,
24-10-22,1200,17,76,1008.4,3.6,140,8,,,10.6,0
24-10-22,1800,25,47,1004.4,3.8,180,0,,,,
25-10-22,0,20.4,63,1004.2,0.5,140,0,9.6,28.4,,
25-10-22,1200,18.4,80,1005.4,,140,5,,,14,0
25-10-22,1800,27.8,47,999.9,4,140,0,,,,
26-10-22,0,22.4,65,997.2,3,140,0,3.6,33.2,,
26-10-22,1200,26,57,995.4,3.5,320,10,,,15.8,0
26-10-22,1800,21.4,84,996.7,1,320,10,,,,
27-10-22,0,21,75,996.3,5,360,10,11.5,28,,
27-10-22,1200,22.2,73,999.9,1.6,320,2,,,18,16.6
27-10-22,1800,27.8,45,997.8,2.1,270,2,,,,
28-10-22,0,18,77,999.9,0,0,0,11.1,30.2,,
28-10-22,1200,19.4,67,1001.6,0.8,230,0,,,10.4,0
28-10-22,1800,29.6,38,998.8,2.3,230,0,,,,
29-10-22,0,21.4,77,997,0,0,0,7.2,32.4,,
29-10-22,1200,23.4,72,994.8,1.6,230,9,,,14.8,0
29-10-22,1800,31.8,45,991.8,5.1,360,8,,,,
30-10-22,0,26,63,991.4,1.6,360,10,0.9,33,,
30-10-22,1200,26,58,988.6,2.1,360,10,,,22,0
30-10-22,1800,31,46,989,2.6,360,10,,,,
31-10-22,0,22.8,93,992.6,1.3,320,10,0,23.2,,
31-10-22,1200,11.4,95,1008,3.6,230,10,,,10.2,17.6
31-10-22,1800,11.2,91,1011.2,1,270,10,,,,
